accession,definition,organism,taxid,length
WP_014930486.1,glycerol kinase,Listeria monocytogenes,1639,497
WP_003747849.1,glycerol kinase,Listeria seeligeri,1640,497
WP_011702340.1,glycerol kinase,Listeria welshimeri,1643,497
WP_018351123.1,glycerol kinase,Longispora albida,203523,491
WP_010852811.1,glycerol kinase,Lunatimonas lonarensis,1232681,500
WP_004225835.1,glycerol kinase,Lysinibacillus fusiformis,28031,497
WP_012292039.1,glycerol kinase,Lysinibacillus sphaericus,1421,498
WP_012656799.1,glycerol kinase,Macrococcus caseolyticus,69966,497
WP_012993693.1,glycerol kinase,Mageeibacillus indolicus,884684,508
WP_013781930.1,glycerol kinase,Mahella australiensis,252966,495
WP_006248030.1,glycerol kinase,Mannheimia haemolytica,75985,503
WP_006252560.1,glycerol kinase,Mannheimia haemolytica,75985,503
WP_013306039.1,glycerol kinase,Maribacter sp. HTCC2170,313603,495
WP_009772106.1,glycerol kinase,marine actinobacterium PHSC20C1,312284,502
WP_009774071.1,glycerol kinase,marine actinobacterium PHSC20C1,312284,505
WP_013703462.1,glycerol kinase,Marinithermus hydrothermalis,186192,495
WP_013455872.1,glycerol kinase,Marivirga tractuosa,1006,499
WP_006859849.1,glycerol kinase,Marvinbryantia formatexigens,168384,498
WP_020655493.1,glycerol kinase,Massilia niastensis,544911,496
WP_005668191.1,glycerol kinase,Massilia timonae,47229,519
WP_020311406.1,glycerol kinase,Megasphaera,906,501
WP_014015602.1,glycerol kinase,Megasphaera elsdenii,907,501
WP_009369428.1,glycerol kinase,Megasphaera genomosp. type_1,699192,500
WP_007393304.1,glycerol kinase,Megasphaera sp. UPII 135-E,1000569,500
WP_007391105.1,glycerol kinase,Megasphaera sp. UPII 199-6,1000568,500
WP_015586324.1,glycerol kinase,Meiothermus ruber,277,496
WP_013157516.1,glycerol kinase,Meiothermus silvanus,52022,496
WP_018467142.1,glycerol kinase,Meiothermus timidus,307124,495
WP_010518174.1,glycerol kinase,Mesoflavibacter zeaxanthinifaciens,393060,497
WP_009059370.1,glycerol kinase,Methylacidiphilum fumariolicum,591154,502
WP_011831238.1,glycerol kinase,Methylibium,316612,499
WP_006893361.1,glycerol kinase,Methylobacter tundripaludum,173365,494
WP_007562957.1,glycerol kinase,Methylobacterium,407,501
WP_020095418.1,glycerol kinase,Methylobacterium,407,501
WP_003606425.1,glycerol kinase,Methylobacterium extorquens,408,501
WP_012255214.1,glycerol kinase,Methylobacterium extorquens,408,501
WP_015824202.1,glycerol kinase,Methylobacterium extorquens,408,501
WP_015857376.1,glycerol kinase,Methylobacterium extorquens,408,501
WP_015952278.1,glycerol kinase,Methylobacterium extorquens,408,501
WP_010686152.1,glycerol kinase,Methylobacterium mesophilicum,39956,501
WP_012456247.1,glycerol kinase,Methylobacterium populi,223967,501
WP_019904164.1,glycerol kinase,Methylobacterium sp. 77,1101192,506
WP_018043844.1,glycerol kinase,Methylobacterium sp. 88A,1131813,501
WP_017484099.1,glycerol kinase,Methylobacterium sp. MB200,648885,501
WP_016921063.1,glycerol kinase,Methylocystis parvus,134,497
WP_018406674.1,glycerol kinase,Methylocystis rosea,173366,498
WP_014891380.1,glycerol kinase,Methylocystis sp. SC2,187303,498
WP_005371619.1,glycerol kinase,Methylomicrobium album,39775,495
WP_020561680.1,glycerol kinase,Methylosarcina fibrata,105972,494
WP_003609404.1,glycerol kinase,Methylosinus,425,493
WP_018267275.1,glycerol kinase,Methylosinus sp. LW4,136993,493
WP_019918698.1,glycerol kinase,Methyloversatilis discipulorum,1119528,503
WP_020164260.1,glycerol kinase,Methyloversatilis discipulorum,1119528,502
WP_008060447.1,glycerol kinase,Methyloversatilis universalis,378211,500
WP_018229639.1,glycerol kinase,Methyloversatilis universalis,378211,500
WP_018189990.1,glycerol kinase,Microbacteriaceae,85023,506
WP_017830735.1,glycerol kinase,Microbacterium,33882,504
WP_018188795.1,glycerol kinase,Microbacterium,33882,552
WP_017201828.1,glycerol kinase GlpK,Microbacterium barkeri,33917,499
WP_017204512.1,glycerol kinase,Microbacterium barkeri,33917,504
WP_005047841.1,glycerol kinase,Microbacterium laevaniformans,36807,504
WP_020096713.1,glycerol kinase,Microbacterium sp. 11MF,1169146,552
WP_018171862.1,glycerol kinase,Microbacterium sp. 292MF,1151122,512
WP_016464115.1,glycerol kinase,Microbacterium sp. oral taxon 186,712383,504
WP_013583492.1,glycerol kinase,Microbacterium testaceum,2033,503
WP_019179423.1,glycerol kinase,Microbacterium yannicii,671622,512
WP_010131837.1,glycerol kinase,Microbulbifer agarilyticus,260552,492
WP_020411324.1,glycerol kinase,Microbulbifer variabilis,266805,492
WP_018777715.1,glycerol kinase,Micrococcaceae,1268,504
WP_002857756.1,glycerol kinase,Micrococcus luteus,1270,510
WP_010079812.1,glycerol kinase,Micrococcus luteus,1270,510
WP_006634935.1,glycerol kinase,Microcoleus vaginatus,119532,495
WP_013863107.1,glycerol kinase,Microlunatus phosphovorus,29405,502
WP_013864950.1,glycerol kinase,Microlunatus phosphovorus,29405,506
WP_013475257.1,glycerol kinase,Micromonospora,1873,504
WP_018784754.1,glycerol kinase,Micromonospora,1873,504
WP_013288389.1,glycerol kinase,Micromonospora aurantiaca,47850,504
WP_002695222.1,glycerol kinase,Microscilla marina,1027,496
WP_009483303.1,glycerol kinase,Mobilicoccus pelagius,746032,515
WP_004007241.1,glycerol kinase,Mobiluncus curtisii,2051,512
WP_004009142.1,glycerol kinase,Mobiluncus curtisii,2051,512
WP_004011025.1,glycerol kinase,Mobiluncus curtisii,2051,512
WP_013189202.1,glycerol kinase,Mobiluncus curtisii,2051,512
WP_004014557.1,glycerol kinase,Mobiluncus mulieris,2052,512
WP_014743460.1,glycerol kinase,Modestobacter marinus,477641,500
WP_014743462.1,glycerol kinase,Modestobacter marinus,477641,505
WP_009643662.1,glycerol kinase,Mogibacterium,86331,502
WP_004240799.1,glycerol kinase,Morganella,581,508
WP_004236613.1,glycerol kinase,Morganella morganii,582,508
WP_017219719.1,glycerol kinase,Moritella dasanensis,428031,510
WP_019441121.1,glycerol kinase,Moritella marina,90736,510
WP_006032203.1,glycerol kinase,Moritella sp. PE36,58051,510
WP_008508447.1,glycerol kinase,Mucilaginibacter paludis,423351,504
WP_014032275.1,glycerol kinase,Muricauda ruestringensis,111501,498
WP_005083566.1,glycerol kinase,Mycobacterium,1763,504
WP_011892225.1,glycerol kinase,Mycobacterium,1763,505
WP_012396720.1,glycerol kinase,Mycobacterium,1763,508
WP_014710826.1,glycerol kinase,Mycobacterium,1763,508
WP_019512331.1,glycerol kinase,Mycobacterium,1763,505
WP_019737064.1,glycerol kinase,Mycobacterium,1763,505
WP_020785266.1,glycerol kinase,Mycobacterium,1763,508
WP_005063212.1,glycerol kinase,Mycobacterium abscessus,36809,504
WP_005065381.1,glycerol kinase,Mycobacterium abscessus,36809,504
WP_005072539.1,glycerol kinase,Mycobacterium abscessus,36809,504
WP_012296300.1,glycerol kinase,Mycobacterium abscessus,36809,504
WP_016892008.1,glycerol kinase,Mycobacterium abscessus,36809,504
WP_003873346.1,glycerol kinase,Mycobacterium avium,1764,508
WP_003877027.1,glycerol kinase,Mycobacterium avium,1764,508
WP_009974637.1,glycerol kinase,Mycobacterium avium,1764,508
WP_014378923.1,glycerol kinase,Mycobacterium avium complex (MAC),120793,508
WP_014817981.1,glycerol kinase,Mycobacterium chubuense,1800,505
WP_007772157.1,glycerol kinase,Mycobacterium colombiense,339268,508
WP_003883830.1,glycerol kinase,Mycobacterium fortuitum,1766,505
WP_013472964.1,glycerol kinase,Mycobacterium gilvum,1804,505
WP_005630871.1,glycerol kinase,Mycobacterium hassiacum,46351,510
WP_009955094.1,glycerol kinase,Mycobacterium intracellulare,1767,508
WP_020188341.1,glycerol kinase,Mycobacterium intracellulare,1767,508
WP_010908827.1,glycerol kinase,Mycobacterium leprae,1769,508
WP_020730936.1,glycerol kinase,Mycobacterium marinum,1781,508
WP_007166678.1,glycerol kinase,Mycobacterium parascrofulaceum,240125,505
WP_003888638.1,glycerol kinase,Mycobacterium phlei,1771,509
WP_005138542.1,glycerol kinase,Mycobacterium rhodesiae,36814,504
WP_014210517.1,glycerol kinase,Mycobacterium rhodesiae,36814,505
WP_013830898.1,glycerol kinase,Mycobacterium sinense,875328,505
WP_003897649.1,glycerol kinase,Mycobacterium smegmatis,1772,505
WP_003898134.1,glycerol kinase,Mycobacterium smegmatis,1772,505
WP_003898137.1,glycerol kinase,Mycobacterium smegmatis,1772,504
WP_011731139.1,glycerol kinase,Mycobacterium smegmatis,1772,505
WP_011731514.1,glycerol kinase,Mycobacterium smegmatis,1772,505
WP_019973144.1,glycerol kinase,Mycobacterium sp. 141,1120797,505
WP_018603440.1,glycerol kinase,Mycobacterium sp. 155,1157943,506
WP_020101472.1,glycerol kinase,Mycobacterium sp. 360MFTsu5.1,1172186,505
WP_008263282.1,glycerol kinase,Mycobacterium sp. H4Y,1168288,508
WP_015309760.1,glycerol kinase,Mycobacterium sp. JS623,212767,505
WP_003925241.1,glycerol kinase,Mycobacterium thermoresistibile,1797,510
WP_003899643.1,glycerol kinase,Mycobacterium tuberculosis,1773,517
WP_003902695.1,glycerol kinase,Mycobacterium tuberculosis,1773,517
WP_003909066.1,glycerol kinase,Mycobacterium tuberculosis,1773,517
WP_019257008.1,glycerol kinase,Mycobacterium tuberculosis,1773,517
WP_003908412.1,glycerol kinase,Mycobacterium tuberculosis complex,77643,517
WP_011799369.1,glycerol kinase,Mycobacterium tuberculosis complex,77643,518
WP_006243920.1,glycerol kinase,Mycobacterium tusciae,75922,505
WP_011741904.1,glycerol kinase,Mycobacterium ulcerans,1809,508
WP_003931859.1,glycerol kinase,Mycobacterium vaccae,1810,505
WP_011782592.1,glycerol kinase,Mycobacterium vanbaalenii,110539,505
WP_003921584.1,glycerol kinase,Mycobacterium xenopi,1789,505
WP_004023857.1,glycerol kinase,Mycoplasma agalactiae,2110,502
WP_011949616.1,glycerol kinase,Mycoplasma agalactiae,2110,502
WP_013022083.1,glycerol kinase,Mycoplasma agalactiae,2110,502
WP_005683790.1,glycerol kinase,Mycoplasma alligatoris,47687,510
WP_013455990.1,glycerol kinase,Mycoplasma bovis,28903,502
WP_013954718.1,glycerol kinase,Mycoplasma bovis,28903,502
WP_004794209.1,glycerol kinase,Mycoplasma canis,29555,505
WP_004796091.1,glycerol kinase,Mycoplasma canis,29555,505
WP_004796569.1,glycerol kinase,Mycoplasma canis,29555,505
WP_004796973.1,glycerol kinase,Mycoplasma canis,29555,505
WP_011387106.1,glycerol kinase,Mycoplasma capricolum,2095,505
WP_012751238.1,glycerol kinase,Mycoplasma conjunctivae,45361,505
WP_013054761.1,glycerol kinase,Mycoplasma crocodyli,50052,509
WP_015287381.1,glycerol kinase,Mycoplasma cynos,171284,507
WP_008363702.1,glycerol kinase,Mycoplasma feriruminatoris,1179777,505
WP_011113244.1,glycerol kinase,Mycoplasma gallisepticum,2096,508
WP_014574361.1,glycerol kinase,Mycoplasma gallisepticum,2096,508
WP_014885780.1,glycerol kinase,Mycoplasma gallisepticum,2096,508
WP_014886314.1,glycerol kinase,Mycoplasma gallisepticum,2096,508
WP_014886613.1,glycerol kinase,Mycoplasma gallisepticum,2096,508
WP_014886697.1,glycerol kinase,Mycoplasma gallisepticum,2096,508
WP_010869300.1,glycerol kinase,Mycoplasma genitalium,2097,508
WP_014894111.1,glycerol kinase,Mycoplasma genitalium,2097,508
WP_011206205.1,glycerol kinase,Mycoplasma hyopneumoniae,2099,510
WP_011284127.1,glycerol kinase,Mycoplasma hyopneumoniae,2099,510
WP_011290194.1,glycerol kinase,Mycoplasma hyopneumoniae,2099,510
WP_014579812.1,glycerol kinase,Mycoplasma hyopneumoniae,2099,510
WP_004024764.1,glycerol kinase,Mycoplasma iowae,2116,509
WP_013447577.1,glycerol kinase,Mycoplasma leachii,2105,505
WP_011264814.1,glycerol kinase,Mycoplasma mobile,2118,510
WP_011166455.1,glycerol kinase,Mycoplasma mycoides,2102,505
WP_013729427.1,glycerol kinase,Mycoplasma mycoides,2102,505
WP_015545468.1,glycerol kinase,Mycoplasma mycoides,2102,505
WP_017697983.1,glycerol kinase,Mycoplasma mycoides,2102,505
WP_010321135.1,glycerol kinase,Mycoplasma ovipneumoniae,29562,510
WP_011077456.1,glycerol kinase,Mycoplasma penetrans,28227,507
WP_010874407.1,glycerol kinase,Mycoplasma pneumoniae,2104,508
WP_014325309.1,glycerol kinase,Mycoplasma pneumoniae,2104,508
WP_014574852.1,glycerol kinase,Mycoplasma pneumoniae,2104,508
WP_017532729.1,glycerol kinase,Mycoplasma pneumoniae,2104,508
WP_019830474.1,glycerol kinase,Mycoplasma pneumoniae,2104,508
WP_010925025.1,glycerol kinase,Mycoplasma pulmonis,2107,507
WP_014035281.1,glycerol kinase,Mycoplasma putrefaciens,2123,502
WP_015587237.1,glycerol kinase,Mycoplasma putrefaciens,2123,502
WP_004429842.1,glycerol kinase,Mycoplasma yeatsii,51365,502
WP_015746835.1,glycerol kinase,Nakamurella multipartita,53461,504
WP_015748508.1,glycerol kinase,Nakamurella multipartita,53461,501
WP_015750369.1,glycerol kinase,Nakamurella multipartita,53461,503
WP_015750374.1,glycerol kinase,Nakamurella multipartita,53461,507
WP_012449067.1,glycerol kinase,Natranaerobius thermophilus,375929,498
WP_010523902.1,glycerol kinase,Nesterenkonia sp. F,795955,519
WP_018628410.1,glycerol kinase,Niabella aurantiaca,379900,498
WP_008586892.1,glycerol kinase,Niabella soli,446683,498
WP_014217017.1,glycerol kinase,Niastella koreensis,354356,494
WP_009053376.1,glycerol kinase,Nitritalea halalkaliphila,590849,496
WP_004179438.1,glycerol kinase,Nitrosospira lacus,1288494,508
WP_014981921.1,glycerol kinase,Nocardia brasiliensis,37326,499
WP_014982240.1,glycerol kinase,Nocardia brasiliensis,37326,506
WP_014982243.1,glycerol kinase,Nocardia brasiliensis,37326,510
WP_014349312.1,glycerol kinase,Nocardia cyriacigeorgica,135487,499
WP_014350983.1,glycerol kinase,Nocardia cyriacigeorgica,135487,503
WP_014350985.1,glycerol kinase,Nocardia cyriacigeorgica,135487,505
WP_011207501.1,glycerol kinase,Nocardia farcinica,37329,499
WP_019932977.1,glycerol kinase,Nocardia sp. BMG111209,1160137,500
WP_017536772.1,glycerol kinase,Nocardiopsis,2013,498
WP_019608030.1,glycerol kinase,Nocardiopsis,2013,499
WP_014908775.1,glycerol kinase,Nocardiopsis alba,53437,499
WP_017533577.1,glycerol kinase,Nocardiopsis alba,53437,499
WP_017604723.1,glycerol kinase,Nocardiopsis alkaliphila,225762,499
WP_017622654.1,glycerol kinase,Nocardiopsis chromatogenes,280239,498
WP_013154655.1,glycerol kinase,Nocardiopsis dassonvillei,2014,499
WP_017585017.1,glycerol kinase,Nocardiopsis ganjiahuensis,239984,499
WP_017571919.1,glycerol kinase,Nocardiopsis halotolerans,124252,499
WP_017575127.1,glycerol kinase,Nocardiopsis kunsanensis,141693,497
WP_017599526.1,glycerol kinase,Nocardiopsis lucentensis,53441,499
WP_017542572.1,glycerol kinase,Nocardiopsis prasina,2015,499
WP_017612231.1,glycerol kinase,Nocardiopsis salina,245836,504
WP_017567677.1,glycerol kinase,Nocardiopsis synnemataformans,61305,499
WP_017581850.1,glycerol kinase,Nocardiopsis valliformis,239974,499
WP_017608408.1,glycerol kinase,Nocardiopsis xinjiangensis,124285,495
WP_020546652.1,glycerol kinase,Nonomuraea coxensis,404386,493
WP_020547836.1,glycerol kinase,Nonomuraea coxensis,404386,502
WP_019139924.1,glycerol kinase,Noviherbaspirillum massiliense,1465823,498
WP_019933787.1,glycerol kinase,Oceanimonas smirnovii,264574,494
WP_014292417.1,glycerol kinase,Oceanimonas sp. GK1,511062,498
WP_013458426.1,glycerol kinase,Oceanithermus profundus,187137,496
WP_017797664.1,glycerol kinase,Oceanobacillus,182709,500
WP_011066868.1,glycerol kinase,Oceanobacillus iheyensis,182710,500
WP_010647548.1,glycerol kinase,Oceanobacillus massiliensis,1465765,497
WP_010647826.1,glycerol kinase,Oceanobacillus massiliensis,1465765,496
WP_007876858.1,glycerol kinase,Ochrobactrum,528,499
WP_010661485.1,glycerol kinase,Ochrobactrum anthropi,529,499
WP_012091247.1,glycerol kinase,Ochrobactrum anthropi,529,499
WP_006467832.1,glycerol kinase,Ochrobactrum intermedium,94625,499
WP_009137995.1,glycerol kinase,Odoribacter laneus,626933,495
WP_013613469.1,glycerol kinase,Odoribacter splanchnicus,28118,495
WP_007360379.1,glycerol kinase,Opitutaceae bacterium TAV1,278956,514
WP_009511943.1,glycerol kinase,Opitutaceae bacterium TAV5,794903,514
WP_012374310.1,glycerol kinase,Opitutus terrae,107709,498
WP_018249872.1,glycerol kinase,Orenia marismortui,46469,499
WP_009536137.1,glycerol kinase,Oribacterium asaccharolyticum,1501332,500
WP_009534481.1,glycerol kinase,Oribacterium parvum,1501329,498
WP_009216015.1,glycerol kinase,Oribacterium sp. oral taxon 078,652706,506
WP_009429847.1,glycerol kinase,Oribacterium sp. oral taxon 108,712414,500
WP_010095267.1,glycerol kinase,Ornithinibacillus scapharcae,1147159,498
WP_010096392.1,glycerol kinase,Ornithinibacillus scapharcae,1147159,497
WP_010098880.1,glycerol kinase,Ornithinibacillus scapharcae,1147159,496
WP_015176898.1,glycerol kinase,Oscillatoria nigro-viridis,482564,495
WP_016320502.1,glycerol kinase,Oscillibacter sp. 1-3,1235797,495
WP_014117272.1,glycerol kinase,Oscillibacter valericigenes,351091,503
WP_006562876.1,glycerol kinase,Oscillochloris trichoides,104176,497
WP_020705053.1,glycerol kinase,Oxalobacteraceae bacterium AB_14,1158293,501
WP_009665792.1,glycerol kinase,Oxalobacteraceae bacterium IMCC9480,937450,499
WP_011774932.1,glycerol kinase,Paenarthrobacter aurescens,43663,504
WP_007431735.1,glycerol kinase,Paenibacillus,44249,497
WP_009671839.1,glycerol kinase,Paenibacillus,44249,496
WP_016818622.1,glycerol kinase,Paenibacillus,44249,497
WP_017814233.1,glycerol kinase,Paenibacillus,44249,497
WP_006038451.1,glycerol kinase,Paenibacillus curdlanolyticus,59840,498
WP_020615643.1,glycerol kinase,Paenibacillus daejeonensis,135193,498
WP_006676217.1,glycerol kinase,Paenibacillus dendritiformis,130049,496
WP_010495824.1,glycerol kinase,Paenibacillus elgii,189691,495
WP_010497592.1,glycerol kinase,Paenibacillus elgii,189691,500
WP_019638543.1,glycerol kinase,Paenibacillus fonticola,379896,496
WP_019537220.1,glycerol kinase,Paenibacillus ginsengihumi,431596,495
WP_007132158.1,glycerol kinase,Paenibacillus lactis,228574,496
WP_018884006.1,glycerol kinase,Paenibacillus massiliensis,225917,497
WP_013921471.1,glycerol kinase,Paenibacillus mucilaginosus,61624,496
WP_014372713.1,glycerol kinase,Paenibacillus mucilaginosus,61624,496
WP_010348063.1,glycerol kinase,Paenibacillus peoriae,59893,497
WP_013311634.1,glycerol kinase,Paenibacillus polymyxa,1406,497
WP_013312488.1,glycerol kinase,Paenibacillus polymyxa,1406,496
WP_013372701.1,glycerol kinase,Paenibacillus polymyxa,1406,497
WP_013373602.1,glycerol kinase,Paenibacillus polymyxa,1406,497
WP_019688908.1,glycerol kinase,Paenibacillus polymyxa,1406,497
WP_010272730.1,glycerol kinase,Paenibacillus senegalensis,1465766,492
WP_009590054.1,glycerol kinase,Paenibacillus sp. HGF5,908341,496
WP_019909925.1,glycerol kinase,Paenibacillus sp. HW567,1034769,497
WP_015846885.1,glycerol kinase,Paenibacillus sp. JDR-2,324057,498
WP_009225121.1,glycerol kinase,Paenibacillus sp. oral taxon 786,652715,496
WP_019421755.1,glycerol kinase,Paenibacillus sp. OSY-SE,1196323,517
WP_017691749.1,glycerol kinase,Paenibacillus sp. PAMC 26794,1257080,495
WP_015736412.1,glycerol kinase,Paenibacillus sp. Y412MC10,481743,496
WP_014277622.1,glycerol kinase,Paenibacillus terrae,159743,497
WP_018754637.1,glycerol kinase,Paenibacillus terrigena,369333,498
WP_006211435.1,glycerol kinase,Paenibacillus vortex,71995,496
WP_007272149.1,glycerol kinase,Paeniglutamicibacter gangotriensis,254787,504
WP_016427494.1,glycerol kinase,Paenisporosarcina sp. HGH0030,1078085,496
WP_017381397.1,glycerol kinase,Paenisporosarcina sp. TG-14,1231057,496
WP_019413628.1,glycerol kinase,Paenisporosarcina sp. TG20,1211706,496
WP_019413758.1,glycerol kinase,Paenisporosarcina sp. TG20,1211706,496
WP_003851245.1,glycerol kinase,Pantoea,53335,503
WP_007885381.1,glycerol kinase,Pantoea,53335,503
WP_009088036.1,glycerol kinase,Pantoea,53335,503
WP_010258184.1,glycerol kinase,Pantoea,53335,503
WP_010672072.1,glycerol kinase,Pantoea,53335,503
WP_013359472.1,glycerol kinase,Pantoea,53335,503
WP_014594886.1,glycerol kinase,Pantoea,53335,503
WP_013027696.1,glycerol kinase,Pantoea ananatis,553,503
WP_017348812.1,glycerol kinase,Pantoea sp. A4,1225184,505
WP_013510994.1,glycerol kinase,Pantoea sp. At-9b,592316,504
WP_006121297.1,glycerol kinase,Pantoea stewartii,66269,503
WP_005865033.1,glycerol kinase,Parabacteroides,375288,499
WP_010803654.1,glycerol kinase,Parabacteroides,375288,503
WP_007653228.1,glycerol kinase,Parabacteroides goldsteinii,328812,503
WP_008147536.1,glycerol kinase,Parabacteroides johnsonii,387661,501
WP_008158464.1,glycerol kinase,Parabacteroides johnsonii,387661,501
WP_005635115.1,glycerol kinase,Parabacteroides merdae,46503,500
WP_005644145.1,glycerol kinase,Parabacteroides merdae,46503,500
WP_020069273.1,glycerol kinase,Paraburkholderia bryophila,420952,499
WP_006049935.1,glycerol kinase,Paraburkholderia graminis,60548,502
WP_017772735.1,glycerol kinase,Paraburkholderia kururiensis,984307,499
WP_015003698.1,glycerol kinase,Paraburkholderia phenoliruptrix,252970,499
WP_012399838.1,glycerol kinase,Paraburkholderia phymatum,148447,499
WP_012434280.1,glycerol kinase,Paraburkholderia phytofirmans,261302,499
WP_013436210.1,glycerol kinase,Paraburkholderia rhizoxinica,412963,500
WP_011489785.1,glycerol kinase,Paraburkholderia xenovorans,36873,499
WP_017436187.1,glycerol kinase,Parageobacillus caldoxylosilyticus,81408,496
WP_008864920.1,glycerol kinase,Parasutterella excrementihominis,487175,504
WP_004832377.1,glycerol kinase,Parvimonas micra,33033,500
WP_009354795.1,glycerol kinase,Parvimonas sp. oral taxon 110,671230,500
WP_009447647.1,glycerol kinase,Parvimonas sp. oral taxon 393,713008,500
WP_005760786.1,glycerol kinase,Pasteurella bettyae,752,503
WP_005763966.1,glycerol kinase,Pasteurella dagmatis,754,502
WP_005717983.1,glycerol kinase,Pasteurella multocida,747,502
WP_010907166.1,glycerol kinase,Pasteurella multocida,747,502
WP_007575235.1,glycerol kinase,Patulibacter medicamentivorans,1097667,493
WP_012822006.1,glycerol kinase,Pectobacterium,122277,503
WP_011095736.1,glycerol kinase,Pectobacterium atrosepticum,29471,503
WP_010299314.1,glycerol kinase,Pectobacterium carotovorum,554,503
WP_012772900.1,glycerol kinase,Pectobacterium carotovorum,554,503
WP_014917002.1,glycerol kinase,Pectobacterium carotovorum,554,503
WP_005973322.1,glycerol kinase,Pectobacterium wasabiae,55208,503
WP_002829658.1,glycerol kinase,Pediococcus acidilactici,1254,504
WP_002832463.1,glycerol kinase,Pediococcus acidilactici,1254,504
WP_005918190.1,glycerol kinase,Pediococcus acidilactici,1254,504
WP_008841239.1,glycerol kinase,Pediococcus acidilactici,1254,500
WP_014215784.1,glycerol kinase,Pediococcus claussenii,187452,504
WP_002832953.1,glycerol kinase,Pediococcus pentosaceus,1255,504
WP_010600885.1,glycerol kinase,Pedobacter agri,454586,496
WP_017257718.1,glycerol kinase,Pedobacter arcticus,752140,497
WP_015809986.1,glycerol kinase,Pedobacter heparinus,984,496
WP_008242675.1,glycerol kinase,Pedobacter sp. BAL39,391596,504
WP_007413764.1,glycerol kinase,Pedosphaera parvula,1032527,497
WP_011358652.1,glycerol kinase,Pelodictyon luteolum,1100,483
WP_012509260.1,glycerol kinase,Pelodictyon phaeoclathratiforme,34090,483
WP_007933408.1,glycerol kinase,Pelosinus,365348,503
WP_007950363.1,glycerol kinase,Pelosinus,365348,497
WP_007932247.1,glycerol kinase,Pelosinus fermentans,365349,497
WP_009431895.1,glycerol kinase,Peptoniphilaceae,1570339,495
WP_009221377.1,glycerol kinase,Peptoniphilus,162289,495
WP_008902319.1,glycerol kinase,Peptoniphilus duerdenii,507750,499
WP_005955292.1,glycerol kinase,Peptoniphilus harei,54005,495
WP_004819091.1,glycerol kinase,Peptoniphilus indolicus,33030,495
WP_004826397.1,glycerol kinase,Peptoniphilus lacrimalis,33031,496
WP_019034163.1,glycerol kinase,Peptoniphilus lacrimalis,33031,496
WP_010245360.1,glycerol kinase,Peptoniphilus rhinitidis,1175452,495
WP_019108198.1,glycerol kinase,Peptoniphilus senegalensis,1465757,495
WP_009345405.1,glycerol kinase,Peptoniphilus sp. oral taxon 836,671216,496
WP_009079779.1,glycerol kinase,Peptostreptococcaceae bacterium AS15,936556,501
WP_002844018.1,glycerol kinase,Peptostreptococcus anaerobius,1261,501
WP_002845558.1,glycerol kinase,Peptostreptococcus anaerobius,1261,501
WP_007789710.1,glycerol kinase,Peptostreptococcus stomatis,341694,501
WP_012208133.1,glycerol kinase,Petrotoga mobilis,69499,498
WP_009144818.1,glycerol kinase,Phascolarctobacterium succinatutens,626940,500
WP_005368626.1,glycerol kinase,Photobacterium angustum,661,505
WP_005302608.1,glycerol kinase,Photobacterium damselae,38293,503
WP_008987439.1,glycerol kinase,Photobacterium leiognathi,553611,505
WP_008988149.1,glycerol kinase,Photobacterium leiognathi,553611,507
WP_007469356.1,glycerol kinase,Photobacterium marinum,1056511,505
WP_006233889.1,glycerol kinase,Photobacterium profundum,74109,506
WP_011217063.1,glycerol kinase,Photobacterium profundum,74109,508
WP_006645258.1,glycerol kinase,Photobacterium sp. SKA34,121723,505
WP_015836323.1,glycerol kinase,Photorhabdus asymbiotica,291112,507
WP_011148833.1,glycerol kinase,Photorhabdus luminescens,29488,507
WP_012909726.1,glycerol kinase,Pirellula staleyi,125,497
WP_006831341.1,glycerol kinase,Planococcus antarcticus,161360,500
WP_008431951.1,glycerol kinase,Planococcus donghaensis,414778,500
WP_008497063.1,glycerol kinase,Planococcus halocryophilus,1215089,500
WP_010616534.1,glycerol kinase,Plautia stali symbiont,891974,503
WP_004570209.1,glycerol kinase,Polaribacter irgensii,531,498
WP_015481485.1,glycerol kinase,Polaribacter sp. MED152,313598,494
WP_011799758.1,glycerol kinase,Polaromonas naphthalenivorans,216465,497
WP_007869216.1,glycerol kinase,Polaromonas sp. CF318,1144318,497
WP_011481447.1,glycerol kinase,Polaromonas sp. JS666,296591,497
WP_004338123.1,glycerol kinase,Prevotella bivia,28125,496
WP_004354474.1,glycerol kinase,Prevotella denticola,28129,496
WP_013670628.1,glycerol kinase,Prevotella denticola,28129,496
WP_008824253.1,glycerol kinase,Prevotella histicola,470565,496
WP_004361405.1,glycerol kinase,Prevotella melaninogenica,28132,496
WP_007367943.1,glycerol kinase,Prevotella multiformis,282402,496
WP_007573409.1,glycerol kinase,Prevotella multisaccharivorax,310514,495
WP_016665500.1,glycerol kinase,Prevotella oralis,28134,499
WP_020015964.1,glycerol kinase,Promicromonospora sukumoe,88382,504
WP_002512652.1,glycerol kinase,Propionibacteriaceae,31957,515
WP_002515920.1,glycerol kinase,Propionibacteriaceae,31957,515
WP_002519763.1,glycerol kinase,Propionibacteriaceae,31957,515
WP_002524547.1,glycerol kinase,Propionibacteriaceae,31957,515
WP_002526072.1,glycerol kinase,Propionibacteriaceae,31957,515
WP_002528349.1,glycerol kinase,Propionibacteriaceae,31957,515
